Date,Open,High,Low,Close,Adj Close,Volume,Expiry_x,Underlying Value_x,PVP,POP,CVP,COP,Span
2011-01-04,99.62879180908205,100.5484390258789,99.0616683959961,99.68243408203124,83.31700134277344,1187179,2011-01-27,650.35,,,,,23
2011-01-05,98.86241149902344,101.1308822631836,98.31828308105467,99.94300079345705,83.53478240966797,1453648,2011-01-27,652.05,,,,,22
2011-01-06,100.55609893798828,103.43000793457033,95.04586029052734,98.77044677734376,82.55474853515625,45665126,2011-01-27,644.4,,,,,21
2011-01-07,99.13064575195312,100.5484390258789,95.51335144042967,96.27206420898438,80.46653747558594,1698984,2011-01-27,628.1,,,,,20
2011-01-10,97.54425048828124,99.29158020019533,89.02215576171875,89.59693145751953,74.88729095458984,17155113,2011-01-27,584.55,,,,,17
2011-01-11,90.43228149414062,93.80433654785156,89.78852844238281,92.5168228149414,77.32780456542969,5381945,2011-01-27,603.6,,,,,16
2011-01-12,93.34451293945312,95.95018768310548,93.34451293945312,94.96156311035156,79.37118530273438,14665797,2011-01-27,619.55,,,,,15
2011-01-13,95.52867889404295,99.5521469116211,95.36774444580078,98.6478271484375,82.45225524902344,12323283,2011-01-27,643.6,,,,,14
2011-01-14,98.09603881835938,99.47550964355467,97.02310943603516,98.38726043701172,82.23446655273438,4062767,2011-01-27,641.9,,,,,13
2011-01-17,97.63621520996094,98.86241149902344,92.52449035644533,93.39815521240234,78.064453125,3548790,2011-01-27,609.35,,,,,10
2011-01-18,94.87725830078124,96.71656036376952,93.34451293945312,95.45970916748048,79.78755187988281,18507975,2011-01-27,622.8,,,,,9
2011-01-19,95.79691314697266,97.44461822509766,94.20285034179688,96.41767120361328,80.5882339477539,3581078,2011-01-27,629.05,,,,,8
2011-01-20,96.10346221923828,98.86241149902344,94.74697875976562,96.47132110595705,80.63307189941406,2405055,2011-01-27,629.4,,,,,7
2011-01-21,96.47132110595705,97.9887466430664,96.29505157470705,97.50592803955078,81.4978256225586,7548462,2011-01-27,636.15,,,,,6
2011-01-24,97.48294067382812,98.24164581298828,96.71656036376952,97.44461822509766,81.44657897949219,940988,2011-01-27,635.75,,,,,3
2011-01-25,97.63621520996094,98.54053497314452,94.5860366821289,95.03053283691406,79.42882537841797,2455885,2011-01-27,620.0,,,,,2
2011-01-27,95.81224060058594,96.21075439453124,93.3598403930664,93.8426513671875,78.43598175048828,3201342,2011-02-24,612.25,,,,,28
2011-01-28,93.49778747558594,94.1108856201172,87.8189468383789,88.40904998779297,73.8944320678711,5905585,2011-02-24,576.8,,,,,27
2011-01-31,87.36678314208984,88.34774017333984,84.46221923828125,86.47779083251953,72.28025817871094,5588449,2011-02-24,564.2,,,,,24
2011-02-01,86.60041046142578,88.78457641601562,83.48126220703125,86.73835754394531,72.49803161621094,3997382,2011-02-24,565.9,,,,,23
2011-02-02,87.36678314208984,91.48988342285156,87.36678314208984,89.41300201416016,74.73356628417969,3598139,2011-02-24,583.35,,,,,22
