Date,Open,High,Low,Close,Adj Close,Volume,Expiry_x,Underlying Value_x,PVP,POP,CVP,COP,Span
2011-02-03,89.35169219970703,94.1108856201172,88.76924896240234,93.40582275390624,78.07086944580078,1555732,2011-02-24,609.4,,,,,21
2011-02-04,93.49778747558594,94.8312759399414,91.6278305053711,92.2945785522461,77.14205169677734,2417751,2011-02-24,602.15,,,,,20
2011-02-07,90.5395736694336,93.49778747558594,89.20608520507812,90.15638732910156,75.35488891601562,4744998,2011-02-24,588.2,,,,,17
2011-02-08,91.19866180419922,92.26392364501952,86.0869369506836,89.77320098876953,75.03462982177734,26112735,2011-02-24,585.7,,,,,16
2011-02-09,89.9571304321289,91.31361389160156,87.12154388427734,89.23674011230469,74.58623504638672,3871295,2011-02-24,582.2,,,,,15
2011-02-10,89.05281066894531,91.19866180419922,87.3897705078125,89.25972747802734,74.60546875,4264020,2011-02-24,582.35,,,,,14
2011-02-11,88.83055877685547,90.2790069580078,88.01820373535156,89.58161163330078,74.8744888305664,2162771,2011-02-24,584.45,,,,,13
2011-02-14,89.81918334960938,93.80433654785156,89.66590881347656,92.58580017089844,77.38546752929688,1674936,2011-02-24,604.05,,,,,10
2011-02-15,93.5207748413086,94.26416015625,89.78852844238281,92.88468170166016,77.6352767944336,1961401,2011-02-24,606.0,,,,,9
2011-02-16,93.62806701660156,96.3333740234375,92.43252563476562,95.97317504882812,80.21672058105469,1395713,2011-02-24,626.15,,,,,8
2011-02-17,96.27206420898438,97.28367614746094,95.68195343017578,96.2337417602539,80.43450164794922,1078133,2011-02-24,627.85,,,,,7
2011-02-18,95.9348602294922,97.59022521972656,94.64734649658205,94.96156311035156,79.37118530273438,1871524,2011-02-24,619.55,,,,,6
2011-02-21,95.32942199707033,96.86217498779295,94.4174346923828,96.27206420898438,80.46653747558594,907812,2011-02-24,628.1,,,660.0,660.0,3
2011-02-22,95.79691314697266,98.4792251586914,95.03053283691406,96.17243194580078,80.38326263427734,1501920,2011-02-24,627.45,,,660.0,660.0,2
2011-02-23,95.2527847290039,96.07280731201172,92.97664642333984,93.62806701660156,78.2566146850586,3364813,2011-02-24,610.85,,,660.0,660.0,1
2011-02-24,93.65106201171876,93.65106201171876,90.125732421875,90.8154754638672,75.90577697753906,2825971,2011-03-31,592.5,,,684.6153846153846,684.0,35
2011-02-25,90.0567626953125,91.96503448486328,84.63848876953125,91.25230407714844,76.2708969116211,3939205,2011-03-31,595.35,,,684.6153846153846,684.0,34
2011-02-28,89.52029418945312,96.18009948730467,89.52029418945312,93.66638946533205,78.28865051269531,2131403,2011-03-31,611.1,,,684.6153846153846,684.0,31
2011-03-01,95.2451171875,95.64363861083984,94.1875228881836,94.67034149169922,79.12776947021484,2683006,2011-03-31,617.65,,,684.6153846153846,684.0,30
2011-03-03,92.73140716552734,95.03053283691406,91.9573745727539,92.84636688232422,77.6032485961914,3556925,2011-03-31,605.75,,,684.6153846153846,684.0,28
2011-03-04,94.72398376464844,94.98455047607422,91.65848541259766,91.90372467041016,76.81537628173828,2090509,2011-03-31,599.6,,,684.6153846153846,684.0,27
2011-03-07,91.9573745727539,92.57813262939452,90.43228149414062,90.96875,76.03389739990234,4410397,2011-03-31,593.5,,,684.6153846153846,684.0,24
2011-03-08,91.50521087646484,92.35588836669922,90.70817565917967,91.01473236083984,76.07233428955078,5580770,2011-03-31,593.8,,,684.6153846153846,684.0,23
2011-03-09,91.25997161865234,92.40953063964844,90.59322357177734,90.8691177368164,75.95061492919922,2850848,2011-03-31,592.85,,,684.6153846153846,684.0,22
2011-03-10,90.87678527832033,91.6125030517578,90.8691177368164,91.14501190185548,76.18123626708984,1455761,2011-03-31,594.65,,,684.6153846153846,684.0,21
2011-03-11,91.19866180419922,91.4362335205078,89.81918334960938,91.10669708251952,76.1491928100586,1991132,2011-03-31,594.4,,,684.6153846153846,684.0,20
2011-03-14,91.09902954101562,92.98431396484376,90.96875,92.55514526367188,77.35983276367188,2612590,2011-03-31,603.85,,,684.6153846153846,684.0,17
2011-03-15,91.15267944335938,92.26392364501952,90.07975006103516,91.93437957763672,76.84099578857422,3323280,2011-03-31,599.8,,,660.0,700.0,16
2011-03-16,91.73512268066406,93.0302963256836,91.73512268066406,91.97269439697266,76.8730239868164,2110597,2011-03-31,600.05,,,700.0,700.0,15
2011-03-17,91.96503448486328,92.26392364501952,91.65848541259766,92.00335693359376,76.89864349365234,1747264,2011-03-31,600.25,,,700.0,700.0,14
2011-03-18,91.97269439697266,93.65106201171876,91.10669708251952,92.0493392944336,76.93708038330078,2086569,2011-03-31,600.55,,,700.0,700.0,13
2011-03-21,91.97269439697266,92.22560119628906,90.8154754638672,91.88072967529295,76.79615020751953,1264661,2011-03-31,599.45,,,700.0,700.0,10
2011-03-22,91.2063217163086,92.63178253173828,91.2063217163086,91.96503448486328,76.86661529541016,1431119,2011-03-31,600.0,,,700.0,700.0,9
2011-03-23,91.96503448486328,92.2869110107422,91.51287078857422,91.92671966552734,76.83458709716797,3813079,2011-03-31,599.75,,,700.0,700.0,8
2011-03-24,91.25230407714844,92.38654327392578,91.25230407714844,91.93437957763672,76.84099578857422,981072,2011-03-31,599.8,,,700.0,700.0,7
2011-03-25,91.9573745727539,93.48246002197266,91.67381286621094,92.06466674804688,76.94989013671875,2404448,2011-03-31,600.65,,,700.0,700.0,6
2011-03-28,92.2792510986328,92.65476989746094,91.65848541259766,91.98802947998048,76.88582611083984,1242015,2011-03-31,600.15,,,700.0,700.0,3
2011-03-29,92.1183090209961,94.6856689453125,91.68914031982422,94.05723571777344,78.61534118652344,3932642,2011-03-31,613.65,,,700.0,700.0,2
2011-03-30,95.30643463134766,97.78948974609376,94.23350524902344,96.69357299804688,80.8188247680664,2170385,2011-03-31,630.85,,,700.0,700.0,1
2011-03-31,97.93509674072266,104.99341583251952,96.93114471435548,102.16548919677734,85.39240264892578,8015792,2011-04-28,666.55,,,700.0,700.0,28
2011-04-01,102.08119201660156,102.41839599609376,99.9813232421875,101.31481170654295,84.68138885498047,1372669,2011-04-28,661.0,,,700.0,700.0,27
2011-04-04,102.6866226196289,103.83618927001952,100.82433319091795,101.7209930419922,85.0208740234375,1521147,2011-04-28,663.65,,,700.0,700.0,24
2011-04-05,102.6942901611328,102.6942901611328,101.16153717041016,102.1195068359375,85.35397338867188,932930,2011-04-28,666.25,,,700.0,700.0,23
2011-04-06,101.93557739257812,102.4643783569336,100.08861541748048,101.0542449951172,84.46359252929688,1182266,2011-04-28,659.3,,,700.0,700.0,22
2011-04-07,101.91258239746094,101.91258239746094,99.50616455078124,99.94300079345705,83.53478240966797,1844448,2011-04-28,652.05,,,700.0,700.0,21
2011-04-08,100.3951644897461,100.3951644897461,97.64387512207033,99.45252227783205,83.12484741210938,1393468,2011-04-28,648.85,,,660.0,700.0,20
2011-04-11,100.2265625,100.2265625,98.578857421875,99.52149200439452,83.18247985839844,830487,2011-04-28,649.3,,,660.0,700.0,17
2011-04-13,99.62879180908205,100.34918212890624,98.7397918701172,99.559814453125,83.21450805664062,1198538,2011-04-28,649.55,,,660.0,700.0,15
2011-04-15,99.32223510742188,99.92001342773438,98.27996826171876,98.6478271484375,82.45225524902344,604455,2011-04-28,643.6,,,660.0,700.0,13
2011-04-18,98.77811431884766,99.49850463867188,96.36402893066406,97.48294067382812,81.4786148071289,2578814,2011-04-28,636.0,,,660.0,700.0,10
2011-04-19,98.3259506225586,98.9926986694336,95.03053283691406,97.82014465332033,81.7604751586914,597925,2011-04-28,638.2,,,660.0,700.0,9
2011-04-20,98.09603881835938,100.3951644897461,96.2567367553711,99.7054214477539,83.33621215820312,1442543,2011-04-28,650.5,,,660.0,700.0,8
2011-04-21,100.3951644897461,100.64806365966795,99.2302703857422,99.5521469116211,83.20809936523438,4751536,2011-04-28,649.5,,,660.0,700.0,7
2011-04-25,99.46784973144533,99.76673126220705,97.95042419433594,98.61717224121094,82.42664337158203,516111,2011-04-28,643.4,,,660.0,700.0,3
2011-04-26,99.27625274658205,99.27625274658205,95.81990051269533,97.65154266357422,81.6195297241211,794584,2011-04-28,637.1,,,660.0,700.0,2
2011-04-27,98.70913696289062,98.96204376220705,96.73955535888672,98.20333099365234,82.08072662353516,724514,2011-04-28,640.7,,,660.0,700.0,1
2011-04-28,98.83942413330078,99.61345672607422,97.48294067382812,98.3029556274414,82.16400909423828,1796013,2011-05-26,641.35,,,660.0,700.0,28
2011-04-29,98.70913696289062,100.3798370361328,95.03053283691406,95.78924560546876,80.06298065185547,2491599,2011-05-26,624.95,,,620.0,700.0,27
2011-05-02,96.73955535888672,98.35660552978516,95.49036407470705,96.4100112915039,80.58183288574219,1589371,2011-05-26,629.0,,,620.0,700.0,24
2011-05-03,97.03843688964844,98.402587890625,94.53239440917967,95.38307189941406,79.7234878540039,3379858,2011-05-26,622.3,,,620.0,700.0,23
2011-05-04,95.64363861083984,97.0001220703125,92.6854248046875,94.35612487792967,78.8651351928711,1484435,2011-05-26,615.6,,,620.0,700.0,22
2011-05-05,95.48269653320312,95.49036407470705,91.99568939208984,92.9536590576172,77.69291687011719,1380798,2011-05-26,606.45,,,620.0,700.0,21
2011-05-06,94.07257080078124,94.930908203125,92.90767669677734,94.7776336669922,79.21746063232422,824524,2011-05-26,618.35,,,620.0,700.0,20
2011-05-09,95.38307189941406,96.54795837402344,93.597412109375,95.2681121826172,79.62738800048828,26606833,2011-05-26,621.55,,,620.0,700.0,17
2011-05-10,95.49036407470705,96.07280731201172,94.57837677001952,95.56700134277344,79.87722778320312,576323,2011-05-26,623.5,,,620.0,700.0,16
2011-05-11,96.45599365234376,96.80852508544922,95.36774444580078,96.1647720336914,80.37686157226562,10969932,2011-05-26,627.4,,,620.0,700.0,15
2011-05-12,96.51730346679688,99.32223510742188,95.70494842529295,97.72051239013672,81.67718505859375,3498814,2011-05-26,637.55,,,620.0,700.0,14
2011-05-13,98.34893798828124,101.874267578125,96.83917999267578,98.04238891601562,81.94621276855469,2281538,2011-05-26,639.65,,,620.0,700.0,13
2011-05-16,97.61322021484376,98.10369873046876,96.71656036376952,97.33732604980467,81.35691833496094,404879,2011-05-26,635.05,,,620.0,700.0,10
2011-05-17,94.72398376464844,99.16896057128906,94.35612487792967,97.33732604980467,81.35691833496094,589991,2011-05-26,635.05,,,620.0,700.0,9
2011-05-18,97.72817993164062,97.72817993164062,95.18380737304688,96.2337417602539,80.43450164794922,1419285,2011-05-26,627.85,,,620.0,700.0,8
2011-05-19,97.32965850830078,97.54425048828124,95.65896606445312,95.9348602294922,80.1846923828125,427264,2011-05-26,625.9,,,620.0,700.0,7
2011-05-20,96.51730346679688,96.57861328125,95.3524169921875,95.94252014160156,80.19108581542969,649616,2011-05-26,625.95,,,620.0,700.0,6
2011-05-23,95.33708953857422,96.0114974975586,93.81199645996094,94.24117279052734,78.76907348632812,1104080,2011-05-26,614.85,,,620.0,700.0,3
2011-05-24,94.99221801757812,96.51730346679688,93.09927368164062,94.83894348144533,79.26868438720703,888996,2011-05-26,618.75,,,620.0,700.0,2
2011-05-25,95.18380737304688,95.62064361572266,91.58950805664062,92.87702178955078,77.6288833618164,1873775,2011-05-26,605.95,620.0,620.0,620.0,700.0,1
2011-05-26,93.65106201171876,94.25650024414062,92.00335693359376,92.70841979980467,77.48796844482422,1285062,2011-06-30,604.85,620.0,620.0,620.0,700.0,35
2011-05-27,94.26416015625,94.96922302246094,91.22931671142578,93.5284423828125,78.17334747314453,1806282,2011-06-30,610.2,620.0,620.0,620.0,700.0,34
2011-05-30,94.40977478027344,95.45970916748048,93.96527099609376,94.55538177490234,79.03168487548828,1327013,2011-06-30,616.9,620.0,620.0,620.0,700.0,31
2011-05-31,94.6013641357422,98.54053497314452,94.4174346923828,97.87378692626952,81.80529022216797,2873154,2011-06-30,638.55,620.0,620.0,620.0,700.0,30
2011-06-01,98.77044677734376,98.96204376220705,96.6552505493164,97.46760559082033,81.46578979492188,691084,2011-06-30,635.9,620.0,620.0,620.0,700.0,29
2011-06-02,97.64387512207033,97.84313201904295,95.03053283691406,96.10346221923828,80.32560729980469,733948,2011-06-30,627.0,620.0,620.0,620.0,700.0,28
2011-06-03,96.2414093017578,96.97712707519533,93.65106201171876,94.24883270263672,78.77547454833984,1577425,2011-06-30,614.9,620.0,620.0,620.0,700.0,27
2011-06-06,94.6013641357422,94.6013641357422,91.3595962524414,92.42485809326172,77.25094604492188,1312392,2011-06-30,603.0,620.0,620.0,620.0,700.0,24
2011-06-07,92.42485809326172,94.79296112060548,92.01101684570312,94.33313751220705,78.84593200683594,914043,2011-06-30,615.45,620.0,620.0,620.0,700.0,23
2011-06-08,94.12621307373048,96.37935638427734,93.08394622802734,96.01915740966795,80.2551498413086,986579,2011-06-30,626.45,620.0,620.0,620.0,700.0,22
2011-06-09,96.2567367553711,100.08861541748048,95.79691314697266,99.32223510742188,83.01595306396484,1948777,2011-06-30,648.0,620.0,620.0,620.0,700.0,21
2011-06-10,99.32990264892578,100.31085968017578,97.94276428222656,98.76278686523438,82.54835510253906,1894978,2011-06-30,644.35,620.0,620.0,620.0,700.0,20
2011-06-13,99.16896057128906,102.67896270751952,97.19171142578124,102.17315673828124,85.39881896972656,2766855,2011-06-30,666.6,620.0,620.0,620.0,700.0,17
2011-06-14,102.24212646484376,104.5259246826172,101.46808624267578,103.82086181640624,86.7760009765625,2408943,2011-06-30,677.35,620.0,620.0,620.0,700.0,16
2011-06-15,103.46066284179688,104.5182647705078,99.6364517211914,100.08094787597656,83.65010070800781,1455253,2011-06-30,652.95,620.0,620.0,620.0,700.0,15
2011-06-16,99.6364517211914,103.23841857910156,99.16896057128906,101.9432373046875,85.20662689208984,1925303,2011-06-30,665.1,620.0,620.0,620.0,700.0,14
2011-06-17,103.05448150634766,104.89378356933594,101.92791748046876,103.3763656616211,86.40447998046875,2924950,2011-06-30,674.45,620.0,620.0,620.0,700.0,13
2011-06-20,103.16178131103516,103.5986099243164,100.3951644897461,101.26882934570312,84.64295959472656,918127,2011-06-30,660.7,620.0,620.0,620.0,700.0,10
2011-06-21,101.18453216552734,102.2191390991211,100.08094787597656,101.58304595947266,84.90557861328125,2235242,2011-06-30,662.75,620.0,620.0,620.0,700.0,9
2011-06-22,102.63298034667967,102.63298034667967,100.5484390258789,101.2151870727539,84.59810638427734,911811,2011-06-30,660.35,620.0,620.0,620.0,700.0,8
2011-06-23,101.23817443847656,101.84361267089844,99.78206634521484,101.00826263427734,84.42517852783203,895442,2011-06-30,659.0,620.0,620.0,620.0,700.0,7
2011-06-24,102.4413833618164,107.29254150390624,101.46808624267578,106.05101013183594,88.64002227783203,3124069,2011-06-30,691.9,620.0,620.0,620.0,700.0,6
2011-06-27,106.06633758544922,108.8252944946289,106.06633758544922,107.35385131835938,89.72897338867188,1821796,2011-06-30,700.4,620.0,620.0,620.0,700.0,3
2011-06-28,107.86732482910156,108.36546325683594,106.52616119384766,107.23123168945312,89.62646484375,3487808,2011-06-30,699.6,620.0,620.0,620.0,700.0,2
2011-06-29,107.1469268798828,108.61837005615234,105.92073059082033,107.0932846069336,89.51117706298828,1024073,2011-06-30,698.7,620.0,620.0,620.0,700.0,1
2011-06-30,106.79439544677734,110.35803985595705,106.679443359375,109.57633972167967,91.58656311035156,4127188,2011-07-28,714.9,620.0,620.0,620.0,700.0,28
2011-07-01,112.0440673828125,112.0440673828125,106.2579345703125,107.56843566894533,89.9083023071289,773185,2011-07-28,701.8,620.0,620.0,620.0,700.0,27
2011-07-04,107.89797973632812,109.8215789794922,107.6680679321289,108.59538269042967,90.76667022705078,987186,2011-07-28,708.5,620.0,620.0,620.0,700.0,24
2011-07-05,109.43839263916016,109.43839263916016,106.90168762207033,107.65274047851562,89.97877502441406,442994,2011-07-28,702.35,620.0,620.0,620.0,700.0,23
2011-07-06,108.62603759765624,108.62603759765624,107.03197479248048,107.23123168945312,89.62646484375,368344,2011-07-28,699.6,620.0,620.0,620.0,700.0,22
2011-07-07,106.326904296875,109.50736236572266,101.93557739257812,108.9862289428711,91.09333801269533,2211344,2011-07-28,711.05,620.0,620.0,620.0,700.0,21
2011-07-08,108.1585464477539,109.92121124267578,107.4074935913086,107.74470520019533,90.05564880371094,2330861,2011-07-28,702.95,620.0,620.0,620.0,700.0,20
2011-07-11,108.6566925048828,111.58424377441406,107.02430725097656,109.71428680419922,91.7018585205078,2215402,2011-07-28,715.8,620.0,620.0,620.0,700.0,17
2011-07-12,109.59166717529295,112.30463409423828,107.3155288696289,108.15087890625,90.3951416015625,1226181,2011-07-28,705.6,620.0,620.0,620.0,700.0,16
2011-07-13,108.21985626220705,109.26212310791016,107.54544067382812,108.817626953125,90.95243072509766,784067,2011-07-28,709.95,620.0,620.0,620.0,700.0,15
2011-07-14,109.08586120605467,110.18943786621094,108.27349853515624,109.57633972167967,91.58656311035156,688559,2011-07-28,714.9,620.0,620.0,620.0,700.0,14
2011-07-15,110.0514907836914,110.35803985595705,108.83295440673828,109.68363189697266,91.6762466430664,571854,2011-07-28,715.6,620.0,620.0,620.0,700.0,13
2011-07-18,110.33505249023438,110.33505249023438,109.10118865966795,109.49970245361328,91.52252197265624,367946,2011-07-28,714.4,620.0,620.0,620.0,700.0,10
2011-07-19,108.97856903076172,113.42354583740234,108.97856903076172,112.09771728515624,93.69400024414062,3798602,2011-07-28,731.35,620.0,620.0,620.0,700.0,9
2011-07-20,113.0326919555664,113.71476745605467,111.58424377441406,112.4425811767578,93.98225402832033,2246347,2011-07-28,733.6,740.0,620.0,620.0,700.0,8
2011-07-21,112.09004974365234,112.32762908935548,109.59166717529295,110.2967300415039,92.18869018554688,1244279,2011-07-28,719.6,740.0,620.0,620.0,700.0,7
2011-07-22,110.81786346435548,113.40821838378906,110.81786346435548,113.04801940917967,94.48828887939452,656597,2011-07-28,737.55,740.0,620.0,620.0,700.0,6
2011-07-25,112.47323608398438,115.56939697265624,111.89845275878906,115.0176010131836,96.13451385498048,1241004,2011-07-28,750.4,740.0,620.0,620.0,700.0,3
2011-07-26,114.9486312866211,117.4853286743164,114.9486312866211,116.68830108642578,97.53092193603516,1990193,2011-07-28,761.3,740.0,620.0,620.0,700.0,2
2011-07-27,116.71895599365234,117.10980987548828,114.95629119873048,116.48904418945312,97.36437225341795,4375662,2011-07-28,760.0,740.0,620.0,620.0,700.0,1
2011-07-28,116.33576965332033,116.46604919433594,112.88707733154295,114.12094116210938,95.38504791259766,3347250,2011-08-25,744.55,740.0,620.0,620.0,700.0,28
2011-07-29,112.19734191894533,112.465576171875,83.99473571777344,89.74254608154297,75.00899505615234,76281771,2011-08-25,585.5,700.0,620.0,648.0701754385965,653.0935251798561,27
2011-08-01,92.73140716552734,99.47550964355467,92.13363647460938,97.8124771118164,81.75404357910156,35402883,2011-08-25,638.15,599.4117647058823,599.0909090909091,658.1865284974093,656.3948497854077,24
2011-08-02,100.94695281982422,104.28834533691406,95.95018768310548,102.91653442382812,86.02014923095703,22102663,2011-08-25,671.45,617.5384615384614,610.9433962264152,671.8260869565217,659.3625498007967,23
2011-08-03,101.8972625732422,103.00083923339844,100.04263305664062,100.85498809814452,85.12417602539062,10725724,2011-08-25,658.0,606.6666666666667,610.0,681.7333333333332,665.886075949367,22
2011-08-04,99.78972625732422,102.30343627929688,99.78972625732422,100.76302337646484,85.04656219482422,4317825,2011-08-25,657.4,610.0,610.4225352112676,677.9591836734694,667.8527607361963,21
2011-08-05,99.59046936035156,99.59812927246094,93.49778747558594,95.0075454711914,80.18877410888672,7735583,2011-08-25,619.85,609.6296296296297,612.3529411764706,677.0967741935484,667.2843450479234,20
2011-08-08,93.95761108398438,96.96179962158205,90.59322357177734,93.98826599121094,79.3284912109375,6997687,2011-08-25,613.2,608.0000000000001,612.0,657.4647887323944,667.0967741935485,17
2011-08-09,92.1029815673828,92.63178253173828,90.73117065429688,91.57418060302734,77.29092407226562,3873467,2011-08-25,597.45,601.25,615.5555555555555,647.4074074074074,667.5496688741722,16
2011-08-10,92.57813262939452,94.26416015625,88.14082336425781,92.26392364501952,77.87310028076172,8171831,2011-08-25,601.95,605.3333333333334,616.1904761904761,632.4,660.2985074626865,15
2011-08-11,91.93437957763672,92.67776489257812,87.36678314208984,87.6656723022461,73.9920654296875,5242392,2011-08-25,571.95,620.0,616.5853658536586,623.661971830986,659.6987951807229,14
2011-08-12,89.0451431274414,90.11807250976562,86.7536849975586,87.62734985351562,73.95970916748047,2235595,2011-08-25,571.7,593.3333333333334,618.421052631579,624.0,659.4011976047904,13
2011-08-16,89.19075775146484,89.19075775146484,85.83403015136719,86.45479583740234,72.97005462646484,2276202,2011-08-25,564.05,600.0,618.421052631579,598.8235294117648,659.8791540785497,9
2011-08-17,86.28619384765625,88.51634979248047,84.5925064086914,86.27852630615234,72.82127380371094,2131266,2011-08-25,562.9,660.0,614.8571428571429,615.5555555555555,660.1834862385322,8
2011-08-18,87.35911560058594,88.11782836914062,85.35887908935547,85.673095703125,72.31026458740234,1844187,2011-08-25,558.95,660.0,614.8571428571429,650.0,660.0613496932515,7
2011-08-19,83.22835540771484,86.13291931152344,78.82936096191406,81.48101806640625,68.7720718383789,3090411,2011-08-25,531.6,600.0,616.7741935483871,615.7142857142857,659.9384615384616,6
2011-08-22,81.07484436035156,83.53490447998047,79.70303344726562,82.7608642578125,69.85227966308594,1595497,2011-08-25,539.95,600.0,616.7741935483871,680.0,659.6904024767803,3
2011-08-23,83.5272445678711,85.68842315673828,81.31241607666016,82.73020935058594,69.82640838623047,2464699,2011-08-25,539.75,600.0,616.7741935483871,662.8571428571429,659.252336448598,2
2011-08-24,82.81451416015625,83.51191711425781,80.04789733886719,81.45036315917969,68.74617004394531,2623349,2011-08-25,531.4,600.0,616.7741935483871,651.1111111111111,658.4952978056426,1
2011-08-25,82.42366027832031,83.22835540771484,80.77595520019531,81.41204833984375,68.7138442993164,3218853,2011-09-29,531.15,600.0,616.7741935483871,651.1111111111111,658.4952978056426,35
2011-08-26,82.26272583007812,82.26272583007812,79.35049438476562,80.21649932861328,67.70475769042969,2168180,2011-09-29,523.35,600.0,616.7741935483871,651.1111111111111,658.4952978056426,34
2011-08-29,81.81822967529297,82.85283660888672,80.81427764892578,82.6842269897461,69.78758239746094,2023858,2011-09-29,539.45,600.0,616.7741935483871,651.1111111111111,658.4952978056426,31
2011-08-30,83.95641326904297,84.54652404785156,80.50006103515625,81.15148162841797,68.49391174316406,5074321,2011-09-29,529.45,600.0,616.7741935483871,651.1111111111111,658.4952978056426,30
2011-09-02,82.73787689208984,83.09040832519531,80.77595520019531,81.65728759765625,68.92082214355469,3252296,2011-09-29,532.75,600.0,616.7741935483871,651.1111111111111,658.4952978056426,27
2011-09-05,81.38905334472656,82.92180633544922,79.886962890625,81.49634552001953,68.78498840332031,1917552,2011-09-29,531.7,600.0,616.7741935483871,651.1111111111111,658.4952978056426,24
2011-09-06,81.39672088623047,83.05975341796875,80.42342376708984,82.01748657226562,69.224853515625,2020752,2011-09-29,535.1,600.0,616.7741935483871,651.1111111111111,658.4952978056426,23
2011-09-07,82.69189453125,88.17913818359375,81.54232788085938,84.9067153930664,71.6634292602539,5751640,2011-09-29,553.95,600.0,616.7741935483871,500.0,500.0,22
2011-09-08,85.06765747070312,87.79595184326172,84.30128479003906,86.05628204345703,72.6336898803711,2212662,2011-09-29,561.45,600.0,616.7741935483871,500.0,500.0,21
2011-09-09,86.71536254882812,87.12154388427734,82.99078369140625,84.69213104248047,71.48230743408203,2607795,2011-09-29,552.55,600.0,616.7741935483871,500.0,500.0,20
2011-09-12,83.56555938720703,87.9798812866211,82.00215911865234,84.82241821289062,71.59227752685547,6760910,2011-09-29,553.4,600.0,616.7741935483871,500.0,500.0,17
2011-09-13,85.37420654296875,86.44713592529297,84.05604553222656,85.31289672851562,72.00625610351562,2674975,2011-09-29,556.6,600.0,616.7741935483871,500.0,500.0,16
2011-09-14,85.22093200683594,87.68099975585938,84.67680358886719,86.28619384765625,72.82775115966797,1473899,2011-09-29,562.95,600.0,616.7741935483871,500.0,500.0,15
2011-09-15,86.63106536865234,90.7158432006836,86.62339782714844,89.84983825683594,75.83554077148438,3547530,2011-09-29,586.2,600.0,616.7741935483871,500.0,500.0,14
2011-09-16,89.81918334960938,92.2715835571289,89.24440002441406,91.88839721679688,77.55615234375,2777379,2011-09-29,599.5,600.0,616.7741935483871,500.0,500.0,13
2011-09-19,92.73140716552734,93.34451293945312,88.1331558227539,88.60831451416016,74.78767395019531,1811990,2011-09-29,578.1,600.0,616.7741935483871,500.0,500.0,10
2011-09-20,88.8918685913086,93.79666900634766,88.60064697265625,92.56280517578124,78.1253662109375,2835262,2011-09-29,603.9,600.0,616.7741935483871,500.0,500.0,9
2011-09-21,92.71607971191406,96.2567367553711,92.71607971191406,94.86959838867188,80.07234954833984,3514433,2011-09-29,618.95,500.0,500.0,500.0,500.0,8
