iter	Passed	Remaining
265	7939	21908
266	7967	21874
267	7996	21839
268	8024	21806
269	8048	21761
270	8077	21728
271	8103	21687
272	8132	21656
273	8161	21624
274	8187	21586
275	8224	21574
276	8248	21528
277	8275	21491
278	8307	21467
279	8336	21435
280	8371	21420
281	8409	21410
282	8455	21421
283	8489	21404
284	8523	21384
285	8553	21353
286	8581	21318
287	8607	21279
288	8638	21252
289	8669	21225
290	8694	21183
291	8723	21151
292	8748	21109
293	8776	21076
294	8800	21032
295	8828	20998
296	8860	20972
297	8883	20926
298	8907	20884
299	8933	20844
300	8961	20811
301	8989	20777
302	9022	20754
303	9050	20720
304	9080	20691
305	9104	20648
306	9127	20603
307	9154	20568
308	9182	20533
309	9207	20493
310	9239	20469
311	9263	20427
312	9291	20394
313	9322	20366
314	9347	20327
315	9376	20296
316	9402	20257
317	9430	20226
318	9458	20192
319	9484	20154
320	9521	20140
321	9547	20102
322	9572	20063
323	9598	20026
324	9631	20003
325	9660	19972
326	9690	19943
327	9726	19926
328	9761	19908
329	9791	19879
330	9832	19872
331	9864	19847
332	9892	19813
333	9915	19772
334	9950	19752
335	9976	19716
336	10004	19682
337	10032	19648
338	10057	19610
339	10083	19574
340	10107	19532
341	10129	19489
342	10162	19466
343	10190	19433
344	10217	19398
345	10246	19367
346	10280	19346
347	10307	19311
348	10336	19281
349	10364	19247
350	10391	19214
351	10418	19179
352	10444	19143
353	10477	19120
354	10507	19091
355	10535	19057
356	10563	19025
357	10588	18987
358	10612	18948
359	10633	18904
360	10660	18870
361	10688	18837
362	10719	18811
363	10746	18775
364	10769	18735
365	10797	18704
366	10828	18676
367	10853	18639
368	10884	18612
369	10909	18575
370	10938	18545
371	10974	18526
372	11045	18567
373	11082	18549
374	11109	18515
375	11139	18486
376	11175	18467
377	11210	18447
378	11241	18419
379	11270	18388
380	11299	18358
381	11336	18340
382	11383	18338
383	11416	18313
384	11447	18286
385	11485	18269
386	11514	18238
387	11536	18196
388	11558	18154
389	11584	18118
390	11610	18084
391	11637	18050
392	11666	18019
393	11694	17986
394	11720	17951
395	11750	17922
396	11772	17881
397	11800	17849
398	11826	17813
399	11859	17789
400	11882	17750
401	11911	17719
402	11939	17686
403	11968	17656
404	12000	17629
405	12027	17597
406	12059	17570
407	12100	17558
408	12149	17555
409	12182	17531
410	12208	17496
411	12233	17459
412	12264	17431
413	12293	17401
414	12318	17365
415	12346	17332
416	12377	17305
417	12410	17279
418	12459	17276
419	12500	17263
420	12529	17232
421	12556	17197
422	12580	17161
423	12605	17124
424	12631	17089
425	12653	17049
426	12679	17014
427	12706	16981
428	12735	16951
429	12759	16914
430	12786	16880
431	12815	16849
432	12838	16811
433	12864	16777
434	12890	16743
435	12916	16708
436	12946	16679
437	12975	16649
438	13004	16618
439	13045	16603
440	13077	16577
441	13108	16548
442	13156	16542
443	13188	16514
444	13214	16480
445	13245	16453
446	13275	16423
447	13303	16391
448	13329	16357
449	13355	16323
450	13390	16299
451	13416	16266
452	13445	16235
453	13475	16206
454	13509	16181
455	13541	16154
456	13575	16129
457	13612	16109
458	13645	16083
459	13681	16061
460	13716	16037
461	13742	16003
462	13770	15971
463	13795	15935
464	13825	15906
465	13849	15870
466	13875	15836
467	13904	15805
468	13935	15777
469	13960	15742
470	13987	15709
471	14010	15672
472	14045	15649
473	14087	15632
474	14115	15600
475	14150	15577
476	14179	15547
477	14204	15512
478	14237	15485
479	14263	15452
480	14285	15414
481	14310	15379
482	14332	15341
483	14359	15308
484	14382	15271
485	14409	15239
486	14438	15208
487	14465	15176
488	14495	15147
489	14522	15114
490	14546	15079
491	14577	15051
492	14604	15019
493	14633	14989
494	14665	14962
495	14696	14933
496	14731	14909
497	14763	14881
498	14794	14853
499	14815	14815
500	14841	14782
501	14862	14744
502	14887	147503503	14915	146504504	14948	146505505	14975	146506506	15004	145507507	15030	145508508	15055	145509509	15086	144510510	15120	144511511	15142	144512512	15167	143513513	15193	143514514	15223	143515515	15251	143516516	15278	142517	15496	14419
518518	15333	142519	15547	14351
520	15574	14318
521521	15416	141522522	15446	140523	15679	14243
524524	15520	140525	15753	14196
526	15795	14176
527	15834	14154
528	15869	14129
529	15895	14096
530	15925	14066
531	15959	14039
532	15989	14009
533	16042	13999
534	16087	13982
535	16120	13955
536	16164	13936
537	16202	13914
538	16232	13883
539	16255	13847
540	16300	13830
541	16333	13801
542	16359	13768
543	16381	13731
544	16411	13701
545	16439	13669
546	16467	13637
547	16496	13606
548	16521	13572
549	16557	13546
550	16609	13535
551	16640	13505
552	16674	13478
553	16710	13452
554	16737	13419
555	16772	13393
556	16804	13365
557	16836	13336
558	16871	13310
559	16904	13281
560	16943	13258
561	16972	13227
562	17006	13200
563	17036	13169
564	17061	13135
565	17088	13103
566	17113	13068
567	17144	13039
568	17171	13006
569	17197	12973
570	17221	12938
571	17247	12905
572	17269	12869
573	17298	12838
574	17329	12808
575	17361	12779
576	17386	12746
577	17416	12715
578	17444	12684
579	17470	12651
580	17508	12626
581	17534	12593
582	17563	12562
583	17590	12530
584	17616	12497
585	17643	12465
586	17671	12432
587	17703	12404
588	17735	12375
589	17761	12342
590	17791	12312
591	17820	12281
592	17849	12251
593	17878	12220
594	17905	12187
595	17929	12153
596	17960	12124
597	17988	12092
598	18013	12059
599	18040	12026
600	18070	11996
601	18100	11966
602	18138	11941
603	18162	11907
604	18190	11876
605	18219	11845
606	18251	11817
607	18278	11784
608	18307	11753
609	18332	11720
610	18362	11690
611	18387	11657
612	18411	11623
613	18443	11594
614	18466	11560
615	18494	11529
616	18521	11497
617	18549	11465
618	18575	11433
619	18602	11401
620	18630	11370
621	18662	11341
622	18687	11308
623623	18489	111624	18745	11247
625	18776	11218
626	18805	11187
627	18833	11156
628	18852	11119
629	18881	11089
630	18906	11056
631	18930	11022
632	18962	10993
633633	18762	108634	19015	10930
635	19044	10899
636	19078	10871
637	19116	10846
638	19143	10815
639	19175	10786
640	19204	10755
641	19225	10720
642	19251	10688
643	19281	10658
644	19316	10631
645	19344	10600
646	19375	10571
647	19403	10540
648	19434	10510
649	19464	10480
650	19490	10448
651	19517	10417
652	19544	10385
653	19575	10356
654	19601	10324
655	19631	10294
656	19660	10264
657	19684	10231
658	19707	10197
659	19733	10165
660	19762	10135
661	19790	10104
662	19821	10074
663	19849	10044
664	19884	10016
665	19913	9986
666	19938	9954
667	19967	9923
668	19996	9893
669	20018	9860
670	20046	9828
671	20074	9798
672	20107	9770
673	20138	9740
674	20167	9710
675	20198	9681
676	20221	9647
677	20251	9618
678	20274	9584
679	20301	9553
680	20334	9525
681	20363	9494
682	20395	9466
683	20432	9439
684	20471	9413
685	20513	9389
686	20549	9362
687	20593	9338
688	20632	9313
689	20675	9289
690	20705	9258
691	20740	9231
692	20763	9198
693	20791	9167
694	20816	9135
695	20839	9102
696	20864	9070
697	20891	9039
698	20920	9008
699	20952	8979
700	20976	8947
701	21000	8914
702	21026	8883
703	21054	8852
704	21091	8825
705	21125	8797
706	21160	8769
707	21187	8738
708	21237	8716
709	21284	8693
710	21341	8674
711	21388	8651
712	21419	8621
713	21454	8593
714	21496	8568
715	21536	8542
716	21576	8516
717	21613	8488
718	21642	8458
719	21672	8428
720	21699	8396
721	21723	8364
722	21746	8331
723	21773	8300
724	21796	8267
725	21824	8236
726	21850	8205
727	21872	8172
728	21895	8139
729	21921	8107
730	21952	8078
731	21973	8045
732	22000	8013
733	22025	7982
734	22056	7952
735	22078	7919
736	22108	7889
737	22135	7858
738	22159	7826
739	22187	7795
740	22216	7765
741	22245	7734
742	22272	7703
743	22295	7671
744	22328	7642
745	22356	7612
746	22388	7582
747	22413	7551
748	22436	7518
749	22465	7488
750	22496	7458
751	22524	7428
752	22557	7399
753	22582	7367
754	22606	7335
755	22630	7304
756	22653	7271
757	22685	7242
758	22715	7212
759	22741	7181
760	22775	7152
761	22810	7124
762	22837	7093
763	22865	7063
764	22894	7032
765	22916	7000
766	22946	6970
767	22973	6939
768	22998	6908
769	23028	6878
770	23058	6848
771	23088	6818
772	23118	6788
773	23146	6758
774	23167	6725
775	23194	6695
776	23223	6665
777	23256	6636
778	23286	6606
779	23313	6575
780	23337	6543
781	23370	6515
782	23397	6484
783	23425	6453
784	23451	6423
785	23485	6394
786	23517	6364
787	23542	6333
788	23583	6306
789	23620	6278
790	23653	6249
791	23684	6220
792	23720	6191
793	23747	6161
794	23776	6131
795	23814	6103
796	23838	6071
797	23866	6041
798	23894	6010
799	23921	5980
800	23947	5949
801	23972	5918
802	24000	5888
803	24026	5857
804	24050	5825
805	24078	5795
806	24100	5763
807	24132	5734
808	24160	5704
809	24184	5672
810	24228	5646
811	24291	5624
812	24329	5596
813	24372	5569
814	24398	5538
815	24427	5508
816	24469	5480
817	24508	5452
818	24541	5423
819	24569	5393
820	24596	5362
821	24619	5331
822	24643	5300
823	24672	5269
824	24693	5238
825	24719	5207
826	24745	5176
827	24777	5146
828	24801	5115
829	24827	5085
830	24853	5054
831	24883	5024
832	24910	4994
833	24934	4962
834	24958	4931
835	24983	4901
836	25010	4870
837	25037	4840
838	25068	4810
839	25097	4780
840	25120	4749
841	25145	4718
842	25174	4688
843	25199	4657
844	25226	4627
845	25253	4596
846	25278	4566
847	25302	4535
848	25329	4505
849	25361	4475
850	25388	4445
851	25416	4415
852	25451	4386
853	25477	4355
854	25499	4324
855	25526	4294
856	25555	4264
857	25585	4234
858	25607	4203
859	25636	4173
860	25657	4142
861	25682	4111
862	25708	4081
863	25731	4050
864	25754	4019
865	25784	3989
866	25812	3959
867	25838	3929
868	25871	3900
869	25899	3869
870	25925	3839
871	25951	3809
872	25979	3779
873	26004	3748
874	26027	3718
875	26056	3688
876	26086	3658
877	26116	3628
878	26141	3598
879	26167	3568
880	26195	3538
881	26222	3508
882	26246	3477
883	26272	3447
884	26298	3417
885	26322	3386
886	26348	3356
887	26374	3326
888	26402	3296
889	26427	3266
890	26456	3236
891	26484	3206
892	26513	3176
893	26537	3146
894	26560	3115
895	26587	3086
896	26614	3056
897	26643	3026
898	26670	2996
899	26697	2966
900	26731	2937
901	26756	2906
902	26786	2877
903	26814	2847
904	26844	2817
905	26871	2787
906	26898	2758
907	26925	2728
908	26954	2698
909	26982	2668
910	27009	2638
911	27042	2609
912	27074	2579
913	27098	2549
914	27140	2521
915	27169	2491
916	27208	2462
917	27231	2432
918	27266	2403
919	27300	2373
920	27322	2343
921	27350	2313
922	27379	2284
923	27403	2254
924	27433	2224
925	27465	2194
926	27494	2165
927	27528	2135
928	27555	2105
929	27592	2076
930	27619	2047
931	27654	2017
932	27684	1988
933	27731	1959
934	27760	1929
935	27800	1900
936	27832	1871
937	27857	1841
938	27881	1811
939	27906	1781
940	27937	1751
941	27966	1721
942	27987	1691
943	28019	1662
944	28043	1632
945	28068	1602
946	28099	1572
947	28127	1542
948	28145	1512
949	28164	1482
950	28186	1452
951	28202	1421
952	28218	1391
953	28234	1361
954	28251	1331
955	28268	1301
956	28280	1270
957	28292	1240
958	28304	1210
959	28315	1179
960	28327	1149
961	28339	1119
962	28352	1089
963	28364	1059
964	28375	1029
965	28390	999
966	28404	969
967	28418	939
968	28435	909
969	28448	879
970	28466	850
971	28479	820
972	28493	790
973	28507	760
974	28520	731
975	28531	701
976	28542	671
977	28553	642
978	28565	612
979	28575	583
980	28587	553
981	28598	524
982	28608	494
983	28618	465
984	28629	435
985	28638	406
986	28648	377
987	28658	348
988	28667	318
989	28677	289
990	28687	260
991	28696	231
992	28706	202
993	28715	173
994	28724	144
995	28733	115
996	28742	86
997	28751	57
998	28763	28
999	28773	0
