iter	Passed	Remaining
0	177	177097
1	206	103292
2	227	75442
3	252	62800
4	277	55175
5	305	50539
6	328	46535
7	353	43857
8	381	42014
9	404	40066
10	430	38722
11	454	37391
12	485	36830
13	512	36064
14	542	35623
15	566	34815
16	594	34355
17	619	33803
18	647	33435
19	673	32991
20	696	32475
21	720	32047
22	744	31640
23	771	31367
24	801	31256
25	827	31003
26	855	30821
27	871	30256
28	901	30199
29	925	29921
30	948	29635
31	974	29477
32	1010	29597
33	1038	29494
34	1064	29341
35	1089	29184
36	1117	29073
37	1142	28921
38	1176	28990
39	1196	28716
40	1223	28620
41	1254	28622
42	1274	28372
43	1307	28407
44	1343	28513
45	1371	28438
46	1398	28348
47	1416	28095
48	1446	28081
49	1476	28053
50	1507	28046
51	1531	27916
52	1560	27874
53	1581	27705
54	1607	27615
55	1633	27531
56	1659	27454
57	1685	27376
58	1709	27265
59	1741	27278
60	1767	27207
61	1796	27181
62	1824	27139
63	1856	27155
64	1883	27086
65	1906	26981
66	1934	26944
67	1959	26861
68	1984	26770
69	2007	26666
70	2034	26623
71	2061	26574
72	2092	26574
73	2116	26490
74	2141	26417
75	2171	26399
76	2198	26352
77	2227	26333
78	2255	26289
79	2284	26276
80	2314	26260
81	2342	26225
82	2370	26190
83	2401	26184
84	2433	26193
85	2473	26287
86	2519	26441
87	2554	26478
88	2592	26539
89	2645	26745
90	2687	26841
91	2717	26816
92	2748	26804
93	2772	26724
94	2803	26702
95	2834	26693
96	2868	26701
97	2895	26650
98	2926	26634
99	2953	26579
100	2980	26530
101	3005	26463
102	3031	26396
103	3060	26363
104	3090	26343
105	3121	26322
106	3150	26296
107	3184	26300
108	3209	26235
109	3235	26181
110	3263	26137
111	3291	26099
112	3323	26085
113	3350	26041
114	3376	25987
115	3405	25955
116	3429	25885
117	3457	25844
118	3491	25845
119	3516	25789
120	3541	25724
121	3572	25709
122	3600	25671
123	3629	25638
124	3661	25631
125	3701	25674
126	3722	25590
127	3745	25515
128	3769	25450
129	3798	25421
130	3825	25376
131	3851	25325
132	3880	25295
133	3912	25282
134	3937	25231
135	3965	25194
136	3991	25145
137	4020	25113
138	4043	25045
139	4074	25031
140	4101	24984
141	4134	24979
142	4168	24984
143	4196	24946
144	4226	24924
145	4256	24896
146	4286	24871
147	4310	24812
148	4341	24794
149	4367	24749
150	4391	24689
151	4417	24647
152	4451	24645
153	4482	24625
154	4516	24619
155	4554	24641
156	4593	24666
157	4632	24684
158	4676	24732
159	4720	24782
160	4751	24763
161	4796	24811
162	4826	24783
163	4856	24754
164	4904	24820
165	4939	24818
166	4994	24911
167	5030	24914
168	5057	24867
169	5094	24871
170	5120	24824
171	5148	24785
172	5175	24741
173	5208	24725
174	5237	24689
175	5266	24655
176	5301	24648
177	5330	24616
178	5362	24595
179	5388	24546
180	5421	24532
181	5448	24488
182	5479	24462
183	5501	24398
184	5527	24349
185	5552	24297
186	5584	24277
187	5607	24218
188	5632	24170
189	5664	24147
190	5692	24109
191	5720	24073
192	5748	24035
193	5777	24002
194	5806	23970
195	5840	23957
196	5876	23953
197	5906	23923
198	5942	23920
199	5973	23894
200	6007	23880
201	6041	23866
202	6072	23840
203	6101	23806
204	6126	23760
205	6159	23741
206	6186	23699
207	6206	23631
208	6234	23597
209	6263	23562
210	6296	23544
211	6322	23501
212	6355	23483
213	6396	23494
214	6433	23488
215	6475	23501
216	6502	23462
217	6535	23443
218	6572	23438
219	6607	23427
220	6634	23386
221	6659	23337
222	6691	23316
223	6722	23290
224	6755	23270
225	6781	23225
226	6812	23198
227	6841	23164
228	6869	23128
229	6897	23093
230	6924	23052
231	6948	23003
232	6975	22961
233	7004	22928
234	7029	22881
235	7057	22846
236	7095	22844
237	7132	22836
238	7162	22806
239	7192	22775
240	7234	22784
241	7274	22784
242	7313	22783
243	7347	22764
244	7375	22728
245	7401	22684
246	7430	22653
247	7462	22627
248	7488	22586
249	7513	22539
250	7537	22491
251	7564	22453
252	7588	22406
253	7615	22366
254	7639	22320
255	7668	22285
256	7696	22252
257	7720	22203
258	7744	22155
259	7772	22121
260	7801	22089
261	7829	22054
262	7855	22014
263	7884	21980
264	7910	21940
