iter	Logloss
0	0.6466662216
1	0.6062951987
2	0.5699993134
3	0.5371443667
4	0.5076641519
5	0.4801720864
6	0.45638237
7	0.4347740555
8	0.4151705933
9	0.3977166476
10	0.3813365228
11	0.3671699987
12	0.3538053485
13	0.342254527
14	0.3314291028
15	0.3221862139
16	0.3137012509
17	0.305554578
18	0.2987357848
19	0.2921402686
20	0.2866361264
21	0.2812820816
22	0.2764407594
23	0.2718993596
24	0.26820664
25	0.264737309
26	0.261529165
27	0.2587835257
28	0.2562654196
29	0.2537740517
30	0.2517070062
31	0.2497838238
32	0.2477183015
33	0.2458371435
34	0.2441867174
35	0.2428446361
36	0.2415344892
37	0.2401664053
38	0.2387426676
39	0.2378650284
40	0.2368717657
41	0.2359518405
42	0.2352841595
43	0.2342526027
44	0.233470568
45	0.2327589144
46	0.232121939
47	0.2317027201
48	0.2311181831
49	0.2306251199
50	0.2300907871
51	0.2296167564
52	0.2292000825
53	0.2288731412
54	0.2283322007
55	0.2278907912
56	0.2275210462
57	0.2270406342
58	0.2268298204
59	0.2265284484
60	0.2261404119
61	0.2259467098
62	0.2256151472
63	0.2253315244
64	0.2251084682
65	0.2249129295
66	0.2247158732
67	0.2245487894
68	0.2244523294
69	0.2243355342
70	0.2241777011
71	0.2238863237
72	0.2237566376
73	0.2236466135
74	0.2234387997
75	0.2233536993
76	0.2232737568
77	0.2230806214
78	0.2229353578
79	0.2228223746
80	0.2225884547
81	0.2224534253
82	0.2222929791
83	0.2221581514
84	0.2220011875
85	0.2218697521
86	0.2218002537
87	0.2216632189
88	0.22158444
89	0.2214951815
90	0.2213993863
91	0.2213496126
92	0.2212267031
93	0.2211272376
94	0.2209575844
95	0.2208338193
96	0.2207926151
97	0.2206902231
98	0.2206272098
99	0.2205430303
100	0.2204557037
101	0.2203835515
102	0.2202874211
103	0.2201942389
104	0.2201279313
105	0.220010782
106	0.2199338123
107	0.2198493331
108	0.2198036494
109	0.2197799437
110	0.2197507613
111	0.2196675546
112	0.2195445333
113	0.2194793183
114	0.2193688365
115	0.2192808424
116	0.2192027828
117	0.2191316823
118	0.2190612003
119	0.2190280969
120	0.2189688056
121	0.218916675
122	0.2188416563
123	0.2187492316
124	0.2186866243
125	0.2186047282
126	0.2185830934
127	0.2185637229
128	0.2185324887
129	0.2184778077
130	0.2184223802
131	0.2183618546
132	0.2183384296
133	0.218300596
134	0.2182590757
135	0.2181560217
136	0.2180725997
137	0.2180288288
138	0.2179754421
139	0.2179274777
140	0.2178756387
141	0.217802402
142	0.2177169527
143	0.2176466642
144	0.2175708199
145	0.217507079
146	0.2174461147
147	0.2173838779
148	0.2172994777
149	0.2172428077
150	0.2171859905
151	0.2171350425
152	0.2170778193
153	0.2170016915
154	0.2169465419
155	0.2168617984
156	0.216742442
157	0.2166955212
158	0.2166250965
159	0.2165198517
160	0.2165059934
161	0.2164636775
162	0.2164398248
163	0.2164102336
164	0.2163449206
165	0.2162874222
166	0.2162606566
167	0.2162439728
168	0.2161896215
169	0.2161356081
170	0.2160672433
171	0.2160212217
172	0.2160035733
173	0.2159410204
174	0.2158660698
175	0.2158135169
176	0.2157893317
177	0.2157281794
178	0.2157008226
179	0.2156373405
180	0.2155754117
181	0.2154971422
182	0.2154469163
183	0.2153910364
184	0.2153813498
185	0.2153454426
186	0.2152992058
187	0.2152227429
188	0.2151801218
189	0.2151339149
190	0.2150785555
191	0.2150141988
192	0.2149297523
193	0.2149160031
194	0.2148408645
195	0.214807069
196	0.2147671209
197	0.2146979659
198	0.2146391978
199	0.2146125548
200	0.2145587785
201	0.2145219612
202	0.21447058
203	0.2144189862
204	0.2143648856
205	0.2143098177
206	0.2142567444
207	0.2142471777
208	0.214180494
209	0.2141322054
210	0.2140686689
211	0.2140565218
212	0.2140199253
213	0.2139272935
214	0.2138931928
215	0.2138745499
216	0.2138175338
217	0.2137592643
218	0.2137210464
219	0.2136832401
220	0.2136749758
221	0.2136469133
222	0.2136212213
223	0.2135511235
224	0.2134885352
225	0.2134492247
226	0.2134005002
227	0.2133658627
228	0.2133198874
229	0.213260558
230	0.2131855229
231	0.2131203515
232	0.2130689566
233	0.2130098261
234	0.212946028
235	0.2128635897
236	0.2128610039
237	0.2128139932
238	0.212805421
239	0.2127502741
240	0.2126787485
241	0.2126102829
242	0.2125688253
243	0.2124723107
244	0.2124308504
245	0.2123489571
246	0.2122642136
247	0.2122173309
248	0.2121865491
249	0.2121486691
250	0.2120899418
251	0.2120438303
252	0.2119870159
253	0.211973787
254	0.2118932424
255	0.2118334525
256	0.2118033028
257	0.2117584801
258	0.2117372758
259	0.2116429874
260	0.2115484347
261	0.211430912
262	0.2113680894
263	0.2113209506
264	0.2112777192
265	0.2112240301
266	0.2111933681
267	0.2111652701
268	0.2111004121
269	0.2110261536
270	0.210992794
271	0.2109583855
272	0.2108896637
273	0.2108262307
274	0.2107679013
275	0.2106861523
276	0.2106299428
277	0.2105788476
278	0.2105198833
279	0.2104471779
280	0.2103974043
281	0.2103493064
282	0.2102780124
283	0.2102003125
284	0.2101427814
285	0.2100804819
286	0.2100019864
287	0.2099623081
288	0.2099130249
289	0.2098628507
290	0.2098095104
291	0.2097661536
292	0.2097223827
293	0.209677887
294	0.2096073396
295	0.2095044436
296	0.2094593457
297	0.2094109045
298	0.2093650791
299	0.2093420056
300	0.2092565809
301	0.209190712
302	0.209151377
303	0.2091061756
304	0.2090353039
305	0.2089477348
306	0.2089025388
307	0.2088493265
308	0.2087920189
309	0.2087135669
310	0.208665747
311	0.208616709
312	0.2085798645
313	0.2085268729
314	0.2084665353
315	0.2083918435
316	0.2083569499
317	0.2082894189
318	0.2082361821
319	0.2081957299
320	0.2081632696
321	0.2081362942
322	0.2080727822
323	0.2080216244
324	0.207954464
325	0.2079264586
326	0.2078652763
327	0.2078308487
328	0.2077672141
329	0.2077196257
330	0.2076859719
331	0.2076102039
332	0.2075635229
333	0.2074875041
334	0.2074279022
335	0.2073431315
336	0.2073078292
337	0.2072411782
338	0.2071837425
339	0.2071315111
340	0.2070833261
341	0.2070385143
342	0.2069885499
343	0.2069359371
344	0.2068402209
345	0.2067652294
346	0.2066757229
347	0.2066051401
